temperature,objective,cal_nll,eval_ece,eval_pos_top1_mean,eval_pos_top1_p95,eval_pos_diag_rate,eval_pos_uncertain_rate,eval_pos_invalid_rate,eval_pos_diag_acc,eval_pos_overall_acc,eval_neg_diag_rate,eval_neg_uncertain_rate,eval_neg_invalid_rate,eval_neg_top1_mean,eval_neg_top1_p95
2.2,0.7938328437983848,0.024976378306746483,0.020179975976018193,0.9795480370521545,0.9998540282249451,0.961436170212766,0.02925531914893617,0.009308510638297872,1.0,0.9973404255319149,0.37398373983739835,0.2899728997289973,0.33604336043360433,0.7836229205131531,0.9991763234138489
2.1,0.8364500363478835,0.022198932245373726,0.017253030606723847,0.982507586479187,0.9999094605445862,0.9720744680851063,0.02127659574468085,0.006648936170212766,1.0,0.9973404255319149,0.3983739837398374,0.3062330623306233,0.2953929539295393,0.7933368682861328,0.9994426369667053
2.0,0.8698703837276821,0.019812360405921936,0.014678087442162188,0.9851177334785461,0.9999447464942932,0.9773936170212766,0.015957446808510637,0.006648936170212766,1.0,0.9973404255319149,0.4173441734417344,0.3116531165311653,0.27100271002710025,0.8031578063964844,0.999636709690094
1.9,0.9150097117841609,0.01779658906161785,0.01243973673975214,0.9873941540718079,0.9999682307243347,0.9813829787234043,0.011968085106382979,0.006648936170212766,1.0,0.9973404255319149,0.4444444444444444,0.3062330623306233,0.24932249322493225,0.8130797743797302,0.9997732639312744
1.8,0.9490842562320916,0.01612955890595913,0.010519074077935928,0.9893559217453003,0.9999832510948181,0.9867021276595744,0.006648936170212766,0.006648936170212766,1.0,0.9973404255319149,0.46612466124661245,0.2953929539295393,0.23848238482384823,0.8230943083763123,0.9998647570610046
1.7,0.983454757830158,0.014787878841161728,0.008894593871020257,0.9910251498222351,0.9999920129776001,0.988031914893617,0.005319148936170213,0.006648936170212766,1.0,0.9973404255319149,0.48509485094850946,0.3008130081300813,0.2140921409214092,0.8331902623176575,0.9999221563339233
1.6,1.0180983382984905,0.013747509568929672,0.00754216582851207,0.9924260973930359,0.999996542930603,0.9893617021276596,0.003989361702127659,0.006648936170212766,1.0,0.9973404255319149,0.5067750677506775,0.2899728997289973,0.2032520325203252,0.8433528542518616,0.9999576807022095
1.5,1.0578694189164373,0.012984728440642357,0.006435642890790676,0.9935859441757202,0.9999986886978149,0.9906914893617021,0.0026595744680851063,0.006648936170212766,1.0,0.9973404255319149,0.5311653116531165,0.2791327913279133,0.1897018970189702,0.8535636067390442,0.9999784231185913
1.4,1.1172756343159924,0.012477249838411808,0.005546887821339547,0.9945329427719116,0.9999995827674866,0.9906914893617021,0.003989361702127659,0.005319148936170213,1.0,0.9973404255319149,0.5691056910569106,0.25745257452574527,0.17344173441734417,0.8637990355491638,0.9999899864196777
1.35,1.1259694608913202,0.012313039973378181,0.005175425770117882,0.9949358701705933,0.9999997615814209,0.9920212765957447,0.0026595744680851063,0.005319148936170213,1.0,0.9973404255319149,0.5745257452574526,0.25474254742547425,0.17073170731707318,0.8689174652099609,0.9999934434890747
